Trees,Build,Incremental Insert,,,,,,Query after Inc. Ins.,,,,,,Incremental Delete,,,,,,Query after Inc. Del.,,,,,
,,100%,50%,25%,12.5%,6.25%,3.125%,KNN_1,KNN_10,KNN_100,Range_Small,Range_Med,Range_Large,100%,50%,25%,12.5%,6.25%,3.125%,KNN_1,KNN_10,KNN_100,Range_Small,Range_Med,Range_Large
MVZD,38.7360,1892.482,2565.143,3607.968,5836.939,10477.433,19270.22,0.0012,0.0017,0.0125,0.0014,0.0138,0.0936,1518.9,2285.153,3403.632,5671.226,10357.222,19767.598,0.0009,0.0018,0.0117,0.0011,0.0053,0.0282
CPAMBB,112.6950,1572.608,2074.611,3002.919,4839.395,8499.835,15837.298,0.0059,0.0348,0.1549,0.0036,0.0227,0.0974,1316.777,2166.38,3553.627,6101.732,11233.743,21468.796,0.0037,0.0212,0.114,0.0027,0.014,0.0357
Rlog_1yr,113.3610,508.544,520.186,517.26,493.99,493.68,496.765,0.0039,0.0049,0.0199,0.0013,0.0121,0.0637,377.715,391.386,422.575,412.344,386.811,378.342,0.0034,0.0043,0.0177,0.0012,0.0045,0.019
Rlog_2yr,113.3610,54.634,70.337,77.266,54.997,57.804,54.919,5.1638,5.1473,5.2014,3.6714,3.6981,3.7556,470.765,507.004,529.317,499.32,473.975,470.28,0.0037,0.0042,0.0181,0.0009,0.0043,0.0183
Rlog_3yr,113.3610,56.7,73.341,77.088,54.332,54.933,60.287,5.1966,5.1916,5.1645,3.6619,3.693,3.7583,54.62,69.936,102.798,69.191,62.592,58.732,0.0049,0.0074,0.0432,0.0023,0.0478,0.3156
Rlog_4yr,113.3610,55.592,70.212,79.914,54.619,56.326,55.958,5.2,5.1904,5.1808,3.6534,3.697,3.7714,67.374,92.395,117.803,87.46,63.344,61.535,0.005,0.0079,0.047,0.0024,0.0718,0.417
Rlog_5yr,113.3610,56.362,73.97,76.364,54.671,55.121,54.836,5.2321,5.1982,5.2408,3.6943,3.7135,3.7756,559.04,604.178,597.546,668.747,547.137,548.958,0.0034,0.0043,0.0177,0.001,0.0044,0.0185
Rlog_NoSnap,113.3610,56.538,70.057,76.574,54.555,55.559,55.521,5.2063,5.2025,5.1393,3.6678,3.68,3.7347,74.606,108.82,108.636,122.785,59.93,60.112,59.8134,59.7493,59.745,60.0565,60.3166,60.3706
