Distribution,Method,Base Query KNN_1,Base Query KNN_10,Base Query KNN_100,Base Query Range_Small,Base Query Range_Med,Base Query Range_Large,2021 Inc Ins 100%,2021 Inc Ins 50%,2021 Inc Ins 25%,2021 Inc Ins 12.5%,2021 Inc Ins 6.25%,2021 Inc Ins 3.125%,2021 Query after inc ins KNN_1,2021 Query after inc ins KNN_10,2021 Query after inc ins KNN_100,2021 Query after inc ins Range_Small,2021 Query after inc ins Range_Med,2021 Query after inc ins Range_Large,2021 Inc Del 100%,2021 Inc Del 50%,2021 Inc Del 25%,2021 Inc Del 12.5%,2021 Inc Del 6.25%,2021 Inc Del 3.125%,2021 Query after inc del KNN_1,2021 Query after inc del KNN_10,2021 Query after inc del KNN_100,2021 Query after inc del Range_Small,2021 Query after inc del Range_Med,2021 Query after inc del Range_Large,2022 Inc Ins 100%,2022 Inc Ins 50%,2022 Inc Ins 25%,2022 Inc Ins 12.5%,2022 Inc Ins 6.25%,2022 Inc Ins 3.125%,2022 Query after inc ins KNN_1,2022 Query after inc ins KNN_10,2022 Query after inc ins KNN_100,2022 Query after inc ins Range_Small,2022 Query after inc ins Range_Med,2022 Query after inc ins Range_Large,2022 Inc Del 100%,2022 Inc Del 50%,2022 Inc Del 25%,2022 Inc Del 12.5%,2022 Inc Del 6.25%,2022 Inc Del 3.125%,2022 Query after inc del KNN_1,2022 Query after inc del KNN_10,2022 Query after inc del KNN_100,2022 Query after inc del Range_Small,2022 Query after inc del Range_Med,2022 Query after inc del Range_Large,2023 Inc Ins 100%,2023 Inc Ins 50%,2023 Inc Ins 25%,2023 Inc Ins 12.5%,2023 Inc Ins 6.25%,2023 Inc Ins 3.125%,2023 Query after inc ins KNN_1,2023 Query after inc ins KNN_10,2023 Query after inc ins KNN_100,2023 Query after inc ins Range_Small,2023 Query after inc ins Range_Med,2023 Query after inc ins Range_Large,2023 Inc Del 100%,2023 Inc Del 50%,2023 Inc Del 25%,2023 Inc Del 12.5%,2023 Inc Del 6.25%,2023 Inc Del 3.125%,2023 Query after inc del KNN_1,2023 Query after inc del KNN_10,2023 Query after inc del KNN_100,2023 Query after inc del Range_Small,2023 Query after inc del Range_Med,2023 Query after inc del Range_Large,2024 Inc Ins 100%,2024 Inc Ins 50%,2024 Inc Ins 25%,2024 Inc Ins 12.5%,2024 Inc Ins 6.25%,2024 Inc Ins 3.125%,2024 Query after inc ins KNN_1,2024 Query after inc ins KNN_10,2024 Query after inc ins KNN_100,2024 Query after inc ins Range_Small,2024 Query after inc ins Range_Med,2024 Query after inc ins Range_Large,2024 Inc Del 100%,2024 Inc Del 50%,2024 Inc Del 25%,2024 Inc Del 12.5%,2024 Inc Del 6.25%,2024 Inc Del 3.125%,2024 Query after inc del KNN_1,2024 Query after inc del KNN_10,2024 Query after inc del KNN_100,2024 Query after inc del Range_Small,2024 Query after inc del Range_Med,2024 Query after inc del Range_Large,2025 Inc Ins 100%,2025 Inc Ins 50%,2025 Inc Ins 25%,2025 Inc Ins 12.5%,2025 Inc Ins 6.25%,2025 Inc Ins 3.125%,2025 Query after inc ins KNN_1,2025 Query after inc ins KNN_10,2025 Query after inc ins KNN_100,2025 Query after inc ins Range_Small,2025 Query after inc ins Range_Med,2025 Query after inc ins Range_Large,2025 Inc Del 100%,2025 Inc Del 50%,2025 Inc Del 25%,2025 Inc Del 12.5%,2025 Inc Del 6.25%,2025 Inc Del 3.125%,2025 Query after inc del KNN_1,2025 Query after inc del KNN_10,2025 Query after inc del KNN_100,2025 Query after inc del Range_Small,2025 Query after inc del Range_Med,2025 Query after inc del Range_Large
bhutan,MVZD,0.0009,0.0017,0.0119,0.0011,0.0048,0.0274,1892.4820,2565.1430,3607.9680,5836.9390,10477.4330,19270.2200,0.0012,0.0017,0.0125,0.0014,0.0138,0.0936,1518.9000,2285.1530,3403.6320,5671.2260,10357.2220,19767.5980,0.0009,0.0018,0.0117,0.0011,0.0053,0.0282,780.0160,1063.2290,1495.8620,2435.8180,4399.1110,8613.3480,0.0009,0.0016,0.0111,0.0015,0.0189,0.1123,718.5350,1035.4720,1545.1700,2499.3300,4500.8400,8624.9070,0.0009,0.0016,0.0110,0.0014,0.0138,0.0918,342.8720,459.0500,611.8270,1017.6020,1853.4770,3593.0590,0.0010,0.0016,0.0122,0.0015,0.0236,0.1273,337.0800,461.6770,664.8170,1130.3600,2062.3720,3917.7970,0.0009,0.0018,0.0116,0.0015,0.0204,0.1172,129.9450,169.6840,232.0540,376.4570,689.0500,1303.3260,0.0009,0.0018,0.0118,0.0016,0.0234,0.1326,118.8890,164.4680,242.1010,403.4310,732.2590,1356.3280,0.0009,0.0017,0.0113,0.0015,0.0230,0.1304,85.6030,112.3170,160.4600,256.4320,489.5430,850.0560,0.0012,0.0018,0.0116,0.0016,0.0231,0.1305,77.6410,112.3680,164.5030,267.6890,488.9620,896.7320,0.0010,0.0017,0.0118,0.0016,0.0235,0.1345
bhutan,CPAMBB,0.0034,0.0191,0.1046,0.0023,0.0066,0.0223,1572.6080,2074.6110,3002.9190,4839.3950,8499.8350,15837.2980,0.0059,0.0348,0.1549,0.0036,0.0227,0.0974,1316.7770,2166.3800,3553.6270,6101.7320,11233.7430,21468.7960,0.0037,0.0212,0.1140,0.0027,0.0140,0.0357,941.0040,1363.0970,2150.0760,3868.2400,7288.5350,14105.7280,0.0063,0.0342,0.1661,0.0041,0.0290,0.1246,920.9840,1427.7400,2367.7140,4262.8240,8047.0560,15863.7420,0.0062,0.0311,0.1520,0.0038,0.0243,0.1065,546.2400,817.2820,1426.0300,2718.8670,5367.2440,10714.3550,0.0062,0.0358,0.1697,0.0041,0.0337,0.1383,529.0820,897.0150,1599.4410,3084.5510,6053.7110,12178.8380,0.0072,0.0419,0.1716,0.0056,0.0322,0.1304,391.2250,637.8290,1180.7160,2358.1260,4781.7580,9648.9480,0.0065,0.0322,0.1620,0.0041,0.0350,0.1453,378.5130,650.1080,1239.8470,2471.4010,4948.9510,10166.6340,0.0065,0.0400,0.1609,0.0041,0.0347,0.1429,347.0830,614.3290,1154.3340,2346.3410,4547.9010,9530.5850,0.0070,0.0341,0.1752,0.0044,0.0385,0.1481,347.9950,620.3740,1179.5520,2391.4950,4813.0340,9629.5910,0.0066,0.0333,0.1622,0.0043,0.0349,0.1460
bhutan,Rlog_1yr,0.0036,0.0044,0.0197,0.0010,0.0043,0.0185,508.5440,520.1860,517.2600,493.9900,493.6800,496.7650,0.0039,0.0049,0.0199,0.0013,0.0121,0.0637,377.7150,391.3860,422.5750,412.3440,386.8110,378.3420,0.0034,0.0043,0.0177,0.0012,0.0045,0.0190,670.3520,636.3710,634.3400,621.3060,678.1550,630.7190,0.0039,0.0049,0.0199,0.0013,0.0149,0.0813,627.3920,630.2310,649.9480,625.5940,623.9560,637.7200,0.0040,0.0049,0.0196,0.0013,0.0109,0.0631,732.1710,670.6900,680.4420,670.8790,672.7580,679.3790,0.0041,0.0050,0.0196,0.0014,0.0168,0.0910,718.0340,720.4210,728.3540,720.3570,720.9840,728.6180,0.0041,0.0047,0.0197,0.0013,0.0146,0.0813,692.3720,683.3890,693.1150,687.1080,685.0320,691.4860,0.0040,0.0050,0.0205,0.0014,0.0172,0.0986,763.3140,753.9530,765.7660,754.6960,757.8870,766.7520,0.0039,0.0049,0.0202,0.0015,0.0168,0.0904,780.3980,737.1550,746.8390,732.8130,737.3330,742.1180,0.0044,0.0050,0.0211,0.0014,0.0184,0.0940,806.0590,765.1410,771.9350,762.4940,763.3400,795.7000,0.0040,0.0048,0.0199,0.0014,0.0178,0.0935
bhutan,Rlog_2yr,0.0034,0.0044,0.0189,0.0009,0.0044,0.0185,54.6340,70.3370,77.2660,54.9970,57.8040,54.9190,5.1638,5.1473,5.2014,3.6714,3.6981,3.7556,470.7650,507.0040,529.3170,499.3200,473.9750,470.2800,0.0037,0.0042,0.0181,0.0009,0.0043,0.0183,644.6950,703.7970,648.4860,634.3260,640.0660,633.1500,0.0040,0.0051,0.0209,0.0013,0.0199,0.0862,21.6930,27.2620,19.9420,20.4940,20.1200,23.1680,0.0049,0.0074,0.0279,0.0024,0.0686,0.4070,9.9680,8.1190,8.7900,9.1280,9.3170,9.9150,0.8557,0.8822,0.9645,0.5545,0.5823,0.7006,742.3340,745.5480,749.1870,756.9540,761.3790,740.7260,0.0045,0.0047,0.0193,0.0013,0.0145,0.0812,697.7180,698.7190,709.8640,699.6910,701.8550,697.6430,0.0042,0.0049,0.0202,0.0014,0.0175,0.0962,2.0510,0.7450,3.7930,2.8220,2.4860,2.6410,0.0051,0.0072,0.0285,0.0029,0.0666,0.3881,1.1400,0.2840,0.3660,0.3260,0.3800,1.7810,0.1564,0.1718,0.2359,0.0936,0.1132,0.2169,752.8860,756.1950,762.7930,756.1250,767.9610,759.5490,0.0040,0.0050,0.0202,0.0014,0.0170,0.0956
bhutan,Rlog_3yr,0.0035,0.0045,0.0198,0.0010,0.0043,0.0188,56.7000,73.3410,77.0880,54.3320,54.9330,60.2870,5.1966,5.1916,5.1645,3.6619,3.6930,3.7583,54.6200,69.9360,102.7980,69.1910,62.5920,58.7320,0.0049,0.0074,0.0432,0.0023,0.0478,0.3156,50.7150,52.4110,49.8650,40.8440,40.8800,39.8810,7.5214,7.1996,7.2772,5.0974,5.1449,5.3660,694.0990,718.0300,699.3700,738.8280,689.7130,705.1440,0.0038,0.0049,0.0194,0.0013,0.0109,0.0643,664.2690,675.8450,660.8990,663.9110,707.5910,669.6310,0.0041,0.0048,0.0201,0.0014,0.0170,0.0915,11.5440,16.3480,15.5430,15.3080,16.1080,9.7750,0.0050,0.0074,0.0283,0.0027,0.0850,0.4773,0.6490,1.9370,2.6740,2.9340,3.2270,2.6260,0.2667,0.2720,0.3408,0.1530,0.1740,0.2652,2.0580,0.7400,3.7790,3.4040,2.4210,3.2850,0.0051,0.0071,0.0342,0.0028,0.0680,0.3927,2.8120,2.7020,2.6470,2.7050,2.6210,2.5910,0.4848,0.4337,0.5088,0.2577,0.2918,0.4064,785.5530,836.5800,772.2980,775.0980,774.3560,776.6270,0.0041,0.0049,0.0213,0.0014,0.0175,0.0993
bhutan,Rlog_4yr,0.0034,0.0044,0.0191,0.0009,0.0045,0.0186,55.5920,70.2120,79.9140,54.6190,56.3260,55.9580,5.2000,5.1904,5.1808,3.6534,3.6970,3.7714,67.3740,92.3950,117.8030,87.4600,63.3440,61.5350,0.0050,0.0079,0.0470,0.0024,0.0718,0.4170,51.4350,49.4660,56.1450,41.3470,40.4510,40.2190,7.2008,7.2206,7.2964,5.2668,4.8201,5.2225,21.3310,26.8580,19.9430,19.4100,20.8280,23.0110,0.0051,0.0073,0.0281,0.0024,0.0747,0.4216,9.3460,7.3050,6.2070,5.1190,4.9020,4.7720,8.1109,8.1149,8.1834,5.7527,5.7539,5.8620,752.5100,761.0220,765.6480,761.0430,752.5780,802.8790,0.0039,0.0049,0.0193,0.0013,0.0149,0.0793,690.4180,689.7340,694.2430,686.5560,697.4090,764.6000,0.0040,0.0049,0.0207,0.0014,0.0173,0.0945,3.0740,5.5530,4.6760,4.6180,4.5190,4.7900,1.2495,1.2524,1.3518,1.2559,1.3364,1.7630,0.2370,0.3400,0.3020,0.3270,0.3230,0.3200,0.1556,0.1635,0.2361,0.0929,0.1112,0.1997,1.2020,0.4140,0.4310,0.3420,0.3260,1.9710,1.0576,1.0588,1.1022,1.0615,1.1349,1.4963
bhutan,Rlog_5yr,0.0034,0.0045,0.0190,0.0010,0.0043,0.0184,56.3620,73.9700,76.3640,54.6710,55.1210,54.8360,5.2321,5.1982,5.2408,3.6943,3.7135,3.7756,559.0400,604.1780,597.5460,668.7470,547.1370,548.9580,0.0034,0.0043,0.0177,0.0010,0.0044,0.0185,49.7560,52.2750,49.6180,40.2910,39.8350,39.6180,7.2460,7.2424,7.5496,5.1451,5.1842,5.2178,29.7560,45.0590,31.2290,24.5020,34.0590,35.2660,0.0050,0.0076,0.0322,0.0029,0.0927,0.5333,9.3050,7.2880,4.8380,5.5600,5.1770,5.0800,8.1357,8.1669,8.2066,5.7865,5.8296,5.9227,12.7500,17.9400,14.3670,15.2430,8.7010,9.0320,0.0051,0.0076,0.0295,0.0027,0.0906,0.5016,3.4760,2.5610,1.7770,1.7260,1.6920,1.6810,8.4916,8.4143,8.4951,6.0272,6.0798,6.1762,3.0580,4.6030,4.4600,4.6310,4.4830,4.5810,0.0050,0.0073,0.0288,0.0029,0.0806,0.5998,706.2190,715.7880,705.0230,726.4700,711.3330,711.9650,0.0043,0.0049,0.0205,0.0014,0.0181,0.1018,0.2310,0.2910,0.3340,0.3880,1.0720,1.1340,0.0054,0.0076,0.0274,0.0030,0.0688,0.4161
bhutan,Rlog_NoSnap,0.0036,0.0044,0.0188,0.0010,0.0046,0.0186,56.5380,70.0570,76.5740,54.5550,55.5590,55.5210,5.2063,5.2025,5.1393,3.6678,3.6800,3.7347,74.6060,108.8200,108.6360,122.7850,59.9300,60.1120,59.8134,59.7493,59.7450,60.0565,60.3166,60.3706,49.9960,50.7450,50.0270,42.7080,39.5970,39.7350,7.2398,7.4176,7.2958,5.1254,5.1319,5.2075,30.4350,42.5930,24.3580,25.3200,34.7730,35.0430,69.3167,69.0693,69.0523,67.8204,68.3025,68.0060,9.8430,9.3070,4.9950,5.5440,5.1420,4.9770,8.1270,8.0593,8.1802,5.7576,5.7810,5.8902,12.9030,16.8630,14.7470,15.0330,8.6710,9.0240,70.2329,70.7090,70.3477,69.8193,68.6545,70.0200,2.4850,2.6030,1.8360,1.9430,1.8860,1.7640,8.4117,8.4541,8.4862,5.9821,6.0226,6.1249,2.1520,4.5910,4.5400,4.5290,4.4220,4.6460,67.0696,66.8097,66.9591,65.2365,66.6585,65.4631,1.9750,1.0550,0.9830,1.0090,0.9570,0.9710,8.6248,8.6481,8.6890,6.2257,6.0574,6.2777,1.2050,1.1230,1.5490,0.3550,0.4190,1.7550,65.8133,66.5730,65.8961,64.4289,64.4745,65.7110
