Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
MVZD | 0 | 0 | 4.105 | 0 | 513.4
MVZD | 1 | 0 | 4.851 | 0 | 515.629
MVZD | 2 | 0 | 3.209 | 0 | 517.05
MVZD | 3 | 0 | 3.292 | 0 | 518.482
MVZD | 4 | 0 | 2.429 | 0 | 519.609
MVZD | 5 | 0 | 2.498 | 0 | 520.805
MVZD | 6 | 0 | 2.64 | 0 | 522.093
MVZD | 7 | 0 | 2.305 | 0 | 523.235
MVZD | 8 | 0 | 2.597 | 0 | 524.416
MVZD | 9 | 0 | 2.348 | 0 | 525.451
MVZD | 10 | 0 | 2.569 | 0 | 526.642
MVZD | 11 | 0 | 2.271 | 0 | 527.678
MVZD | 12 | 0 | 2.196 | 0 | 528.696
MVZD | 13 | 0 | 2.476 | 0 | 529.773
MVZD | 14 | 0 | 2.535 | 0 | 530.905
MVZD | 15 | 0 | 2.073 | 0 | 531.888
MVZD | 16 | 0 | 2.421 | 0 | 532.982
MVZD | 17 | 0 | 2.675 | 0 | 534.222
MVZD | 18 | 0 | 2.67 | 0 | 535.478
MVZD | 19 | 0 | 2.048 | 0 | 536.403
MVZD | 20 | 0 | 2.491 | 0 | 537.361
MVZD | 21 | 0 | 2.177 | 0 | 538.14
MVZD | 22 | 0 | 2.91 | 0 | 539.409
MVZD | 23 | 0 | 3.283 | 0 | 540.954
MVZD | 24 | 0 | 2.991 | 0 | 542.306
MVZD | 25 | 0 | 3.651 | 0 | 544.189
MVZD | 26 | 0 | 3.787 | 0 | 545.994
MVZD | 27 | 0 | 2.816 | 0 | 547.161
MVZD | 28 | 0 | 3.797 | 0 | 549.091
MVZD | 29 | 0 | 4.805 | 0 | 551.325
MVZD | 30 | 0 | 4.66 | 0 | 553.649
MVZD | 31 | 0 | 3.331 | 0 | 555.19
MVZD | SUMMARY | 0 | 0 | 201.432 | 591.206
