Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
CPAMBB | 0 | 0 | 3.525 | 0 | 842.594
CPAMBB | 1 | 0 | 3.53 | 0 | 845.095
CPAMBB | 2 | 0 | 3.59 | 0 | 847.751
CPAMBB | 3 | 0 | 1.715 | 0 | 848.954
CPAMBB | 4 | 0 | 1.294 | 0 | 849.965
CPAMBB | 5 | 0 | 1.747 | 0 | 851.121
CPAMBB | 6 | 0 | 1.87 | 0 | 852.295
CPAMBB | 7 | 0 | 1.235 | 0 | 853.234
CPAMBB | 8 | 0 | 1.797 | 0 | 854.494
CPAMBB | 9 | 0 | 0.752 | 0 | 854.874
CPAMBB | 10 | 0 | 1.131 | 0 | 855.52
CPAMBB | 11 | 0 | 1.498 | 0 | 856.489
CPAMBB | 12 | 0 | 1.745 | 0 | 857.724
CPAMBB | 13 | 0 | 2.125 | 0 | 859.255
CPAMBB | 14 | 0 | 0.853 | 0 | 859.828
CPAMBB | 15 | 0 | 1.21 | 0 | 860.643
CPAMBB | 16 | 0 | 1.558 | 0 | 861.658
CPAMBB | 17 | 0 | 0.963 | 0 | 862.208
CPAMBB | 18 | 0 | 1.11 | 0 | 862.735
CPAMBB | 19 | 0 | 0.957 | 0 | 863.27
CPAMBB | 20 | 0 | 0.772 | 0 | 863.661
CPAMBB | 21 | 0 | 3.452 | 0 | 866.352
CPAMBB | 22 | 0 | 7.405 | 0 | 870.152
CPAMBB | 23 | 0 | 3.059 | 0 | 871.613
CPAMBB | 24 | 0 | 2.447 | 0 | 873.012
CPAMBB | 25 | 0 | 1.957 | 0 | 874.01
CPAMBB | 26 | 0 | 4.58 | 0 | 876.869
CPAMBB | 27 | 0 | 2.031 | 0 | 878.08
CPAMBB | 28 | 0 | 4.257 | 0 | 880.742
CPAMBB | 29 | 0 | 2.453 | 0 | 882.181
CPAMBB | 30 | 0 | 2.302 | 0 | 883.502
CPAMBB | 31 | 0 | 1.182 | 0 | 884.102
CPAMBB | SUMMARY | 0 | 0 | 3613.47 | 913.422
