Algo | QType | QID | Count | Hash | Time_ms | Mem_MB | Nodes
Rlog_NoSnap | Range_Small | 0 | 13 | 77370775039 | 5.98206 | 199.555 | 4009330
Rlog_NoSnap | Range_Small | 1 | 39 | 114525137145 | 5.98206 | 199.555 | 4009330
Rlog_NoSnap | Range_Small | 2 | 22 | 129856243729 | 5.98206 | 199.555 | 4009330
Rlog_NoSnap | Range_Small | 3 | 23 | 125861566061 | 5.98206 | 199.555 | 4009330
Rlog_NoSnap | Range_Small | 4 | 12 | 62231256115 | 5.98206 | 199.555 | 4009330
Rlog_NoSnap | Range_Small | 5 | 8 | 24044512384 | 5.98206 | 199.555 | 4009330
Rlog_NoSnap | Range_Small | 6 | 7 | 30210729085 | 5.98206 | 199.555 | 4009330
Rlog_NoSnap | Range_Small | 7 | 25 | 137139152206 | 5.98206 | 199.555 | 4009330
Rlog_NoSnap | Range_Small | 8 | 20 | 69205439825 | 5.98206 | 199.555 | 4009330
Rlog_NoSnap | Range_Small | 9 | 22 | 111590590455 | 5.98206 | 199.555 | 4009330
Rlog_NoSnap | Range_Small | 10 | 5 | 10444192042 | 5.98206 | 199.555 | 4009330
Rlog_NoSnap | Range_Small | 11 | 159 | 1224908840390 | 5.98206 | 199.555 | 4009330
Rlog_NoSnap | Range_Small | 12 | 27 | 152094047076 | 5.98206 | 199.555 | 4009330
Rlog_NoSnap | Range_Small | 13 | 64 | 498902711018 | 5.98206 | 199.555 | 4009330
Rlog_NoSnap | Range_Small | 14 | 9 | 62398590491 | 5.98206 | 199.555 | 4009330
Rlog_NoSnap | Range_Small | 15 | 11 | 67380626347 | 5.98206 | 199.555 | 4009330
Rlog_NoSnap | Range_Small | 16 | 17 | 94167736767 | 5.98206 | 199.555 | 4009330
Rlog_NoSnap | Range_Small | 17 | 17 | 54936443278 | 5.98206 | 199.555 | 4009330
Rlog_NoSnap | Range_Small | 18 | 91 | 300755550064 | 5.98206 | 199.555 | 4009330
Rlog_NoSnap | Range_Small | 19 | 11 | 49462926783 | 5.98206 | 199.555 | 4009330
Rlog_NoSnap | Range_Small | 20 | 40 | 276082178268 | 5.98206 | 199.555 | 4009330
Rlog_NoSnap | Range_Small | 21 | 8 | 20530185936 | 5.98206 | 199.555 | 4009330
Rlog_NoSnap | Range_Small | 22 | 15 | 121533916642 | 5.98206 | 199.555 | 4009330
Rlog_NoSnap | Range_Small | 23 | 41 | 316751500055 | 5.98206 | 199.555 | 4009330
