Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
Rlog_1yr | 0 | 0 | 0.061 | 0 | 225.199
Rlog_1yr | 1 | 0 | 0.022 | 0 | 225.199
Rlog_1yr | 2 | 0 | 0.021 | 0 | 225.199
Rlog_1yr | 3 | 0 | 0.021 | 0 | 225.199
Rlog_1yr | 4 | 0 | 0.021 | 0 | 225.199
Rlog_1yr | 5 | 0 | 0.021 | 0 | 225.457
Rlog_1yr | 6 | 0 | 0.021 | 0 | 225.973
Rlog_1yr | 7 | 0 | 0.021 | 0 | 226.746
Rlog_1yr | 8 | 0 | 0.021 | 0 | 227.262
Rlog_1yr | 9 | 0 | 0.021 | 0 | 227.777
Rlog_1yr | 10 | 0 | 0.022 | 0 | 228.293
Rlog_1yr | 11 | 0 | 0.021 | 0 | 229.066
Rlog_1yr | 12 | 0 | 0.021 | 0 | 229.582
Rlog_1yr | 13 | 0 | 0.021 | 0 | 230.098
Rlog_1yr | 14 | 0 | 0.021 | 0 | 230.613
Rlog_1yr | 15 | 0 | 0.021 | 0 | 231.383
Rlog_1yr | 16 | 0 | 0.021 | 0 | 231.898
Rlog_1yr | 17 | 0 | 0.02 | 0 | 232.414
Rlog_1yr | 18 | 0 | 0.021 | 0 | 232.93
Rlog_1yr | 19 | 0 | 0.021 | 0 | 233.445
Rlog_1yr | 20 | 0 | 0.021 | 0 | 234.219
Rlog_1yr | 21 | 0 | 0.021 | 0 | 234.734
Rlog_1yr | 22 | 0 | 0.021 | 0 | 235.25
Rlog_1yr | 23 | 0 | 0.02 | 0 | 235.766
Rlog_1yr | 24 | 0 | 0.021 | 0 | 236.539
Rlog_1yr | 25 | 0 | 0.034 | 0 | 237.055
Rlog_1yr | 26 | 0 | 0.021 | 0 | 237.57
Rlog_1yr | 27 | 0 | 0.02 | 0 | 238.086
Rlog_1yr | 28 | 0 | 0.021 | 0 | 238.859
Rlog_1yr | 29 | 0 | 0.021 | 0 | 239.375
Rlog_1yr | 30 | 0 | 0.021 | 0 | 239.891
Rlog_1yr | 31 | 0 | 0.02 | 0 | 240.406
Rlog_1yr | SUMMARY | 0 | 0 | 629.996 | 407.109
