Trees,Build,Incremental Insert,,,,,,Query after Inc. Ins.,,,,,,Incremental Delete,,,,,,Query after Inc. Del.,,,,,
,,100%,50%,25%,12.5%,6.25%,3.125%,KNN_1,KNN_10,KNN_100,Range_Small,Range_Med,Range_Large,100%,50%,25%,12.5%,6.25%,3.125%,KNN_1,KNN_10,KNN_100,Range_Small,Range_Med,Range_Large
MVZD,38.7360,121.778,122.988,121.208,117.109,118.542,124.818,0.0009,0.0018,0.0117,0.0015,0.0221,0.1242,112.932,116.293,114.978,112.669,115.833,117.622,0.0009,0.0017,0.0118,0.0015,0.0233,0.1267
CPAMBB,112.6950,264.054,370.961,588.59,1053.274,2332.388,3683.572,0.0058,0.0298,0.1574,0.004,0.0284,0.1175,250.481,368.27,601.956,1042.155,1992.738,3827.672,0.0058,0.0331,0.1596,0.0037,0.0288,0.1204
Rlog_1yr,113.3610,692.372,683.389,693.115,687.108,685.032,691.486,0.004,0.005,0.0205,0.0014,0.0172,0.0986,763.314,753.953,765.766,754.696,757.887,766.752,0.0039,0.0049,0.0202,0.0015,0.0168,0.0904
Rlog_2yr,113.3610,697.718,698.719,709.864,699.691,701.855,697.643,0.0042,0.0049,0.0202,0.0014,0.0175,0.0962,2.051,0.745,3.793,2.822,2.486,2.641,0.0051,0.0072,0.0285,0.0029,0.0666,0.3881
Rlog_3yr,113.3610,0.649,1.937,2.674,2.934,3.227,2.626,0.2667,0.272,0.3408,0.153,0.174,0.2652,2.058,0.74,3.779,3.404,2.421,3.285,0.0051,0.0071,0.0342,0.0028,0.068,0.3927
Rlog_4yr,113.3610,690.418,689.734,694.243,686.556,697.409,764.6,0.004,0.0049,0.0207,0.0014,0.0173,0.0945,3.074,5.553,4.676,4.618,4.519,4.79,1.2495,1.2524,1.3518,1.2559,1.3364,1.763
Rlog_5yr,113.3610,3.476,2.561,1.777,1.726,1.692,1.681,8.4916,8.4143,8.4951,6.0272,6.0798,6.1762,3.058,4.603,4.46,4.631,4.483,4.581,0.005,0.0073,0.0288,0.0029,0.0806,0.5998
Rlog_NoSnap,113.3610,2.485,2.603,1.836,1.943,1.886,1.764,8.4117,8.4541,8.4862,5.9821,6.0226,6.1249,2.152,4.591,4.54,4.529,4.422,4.646,67.0696,66.8097,66.9591,65.2365,66.6585,65.4631
