Trees	Build	Incremental Insert						Query after Inc. Ins.						Incremental Delete						Query after Inc. Del.					
		100%	50%	25%	12.5%	6.25%	3.125%	KNN_1	KNN_10	KNN_100	Range_Small	Range_Med	Range_Large	100%	50%	25%	12.5%	6.25%	3.125%	KNN_1	KNN_10	KNN_100	Range_Small	Range_Med	Range_Large
MVZD	0.0387	129.945	169.684	232.054	376.457	689.05	1303.326	0.0009	0.0018	0.0118	0.0016	0.0234	0.1326	118.889	164.468	242.101	403.431	732.259	1356.328	0.0009	0.0017	0.0113	0.0015	0.023	0.1304
CPAMBB	0.1127	391.225	637.829	1180.716	2358.126	4781.758	9648.948	0.0065	0.0322	0.162	0.0041	0.035	0.1453	378.513	650.108	1239.847	2471.401	4948.951	10166.634	0.0065	0.04	0.1609	0.0041	0.0347	0.1429
Rlog_1yr	0.1134	692.372	683.389	693.115	687.108	685.032	691.486	0.004	0.005	0.0205	0.0014	0.0172	0.0986	763.314	753.953	765.766	754.696	757.887	766.752	0.0039	0.0049	0.0202	0.0015	0.0168	0.0904
Rlog_2yr	0.1134	697.718	698.719	709.864	699.691	701.855	697.643	0.0042	0.0049	0.0202	0.0014	0.0175	0.0962	2.051	0.745	3.793	2.822	2.486	2.641	0.0051	0.0072	0.0285	0.0029	0.0666	0.3881
Rlog_3yr	0.1134	0.649	1.937	2.674	2.934	3.227	2.626	0.2667	0.272	0.3408	0.153	0.174	0.2652	2.058	0.74	3.779	3.404	2.421	3.285	0.0051	0.0071	0.0342	0.0028	0.068	0.3927
Rlog_4yr	0.1134	690.418	689.734	694.243	686.556	697.409	764.6	0.004	0.0049	0.0207	0.0014	0.0173	0.0945	3.074	5.553	4.676	4.618	4.519	4.79	1.2495	1.2524	1.3518	1.2559	1.3364	1.763
Rlog_5yr	0.1134	3.476	2.561	1.777	1.726	1.692	1.681	8.4916	8.4143	8.4951	6.0272	6.0798	6.1762	3.058	4.603	4.46	4.631	4.483	4.581	0.005	0.0073	0.0288	0.0029	0.0806	0.5998
Rlog_NoSnap	0.1134	2.485	2.603	1.836	1.943	1.886	1.764	8.4117	8.4541	8.4862	5.9821	6.0226	6.1249	2.152	4.591	4.54	4.529	4.422	4.646	67.0696	66.8097	66.9591	65.2365	66.6585	65.4631
