Distribution,Method,2021 Inc Ins 100%,2021 Inc Ins 50%,2021 Inc Ins 25%,2021 Inc Ins 12.5%,2021 Inc Ins 6.25%,2021 Inc Ins 3.125%,2021 Inc Del 100%,2021 Inc Del 50%,2021 Inc Del 25%,2021 Inc Del 12.5%,2021 Inc Del 6.25%,2021 Inc Del 3.125%,2022 Inc Ins 100%,2022 Inc Ins 50%,2022 Inc Ins 25%,2022 Inc Ins 12.5%,2022 Inc Ins 6.25%,2022 Inc Ins 3.125%,2022 Inc Del 100%,2022 Inc Del 50%,2022 Inc Del 25%,2022 Inc Del 12.5%,2022 Inc Del 6.25%,2022 Inc Del 3.125%,2023 Inc Ins 100%,2023 Inc Ins 50%,2023 Inc Ins 25%,2023 Inc Ins 12.5%,2023 Inc Ins 6.25%,2023 Inc Ins 3.125%,2023 Inc Del 100%,2023 Inc Del 50%,2023 Inc Del 25%,2023 Inc Del 12.5%,2023 Inc Del 6.25%,2023 Inc Del 3.125%,2024 Inc Ins 100%,2024 Inc Ins 50%,2024 Inc Ins 25%,2024 Inc Ins 12.5%,2024 Inc Ins 6.25%,2024 Inc Ins 3.125%,2024 Inc Del 100%,2024 Inc Del 50%,2024 Inc Del 25%,2024 Inc Del 12.5%,2024 Inc Del 6.25%,2024 Inc Del 3.125%,2025 Inc Ins 100%,2025 Inc Ins 50%,2025 Inc Ins 25%,2025 Inc Ins 12.5%,2025 Inc Ins 6.25%,2025 Inc Ins 3.125%,2025 Inc Del 100%,2025 Inc Del 50%,2025 Inc Del 25%,2025 Inc Del 12.5%,2025 Inc Del 6.25%,2025 Inc Del 3.125%
bhutan,MVZD,304.831,311.876,318.000,322.032,326.197,329.814,773.305,834.697,885.554,911.454,942.023,962.803,473.282,484.887,494.441,500.274,506.638,511.635,739.719,767.084,794.056,807.583,825.390,837.674,545.314,558.285,569.892,576.830,585.215,591.206,658.896,678.399,698.561,709.408,723.639,733.749,576.648,590.185,603.076,610.415,619.511,626.061,628.296,645.174,661.005,669.792,680.983,689.641,598.782,613.316,626.631,634.332,643.917,651.065,612.124,628.006,641.868,650.094,660.336,668.253
bhutan,CPAMBB,309.200,323.908,339.969,354.697,368.758,382.100,1177.100,1349.450,1513.980,1616.580,1734.860,1822.200,565.875,600.942,631.914,655.625,679.853,699.685,1120.730,1214.580,1307.160,1363.430,1434.260,1486.590,675.233,715.273,753.710,782.349,815.119,839.851,945.504,1009.420,1077.510,1121.830,1178.730,1221.940,733.872,776.002,819.483,849.894,886.001,913.422,873.062,928.537,983.851,1020.610,1065.740,1102.320,784.428,831.182,877.010,909.276,947.656,977.780,827.376,879.577,928.116,962.652,1003.710,1037.000
bhutan,Rlog_1yr,215.258,216.949,218.930,225.359,229.281,229.020,1805.880,1807.710,1809.850,1819.780,1819.390,1819.490,401.820,403.520,411.559,410.801,413.965,407.109,1713.660,1716.980,1717.620,1715.220,1724.230,1723.860,595.762,603.520,607.590,600.602,603.234,602.086,1557.450,1556.730,1559.950,1561.270,1563.060,1563.150,793.457,798.238,798.980,801.414,801.094,799.965,1373.010,1380.320,1376.880,1378.130,1379.410,1384.690,991.105,992.863,996.141,997.129,997.352,997.844,1185.560,1187.580,1189.750,1190.560,1191.840,1192.280
bhutan,Rlog_2yr,132.055,134.230,136.016,148.344,149.539,149.340,991.887,993.199,1001.740,996.445,998.875,1002.730,271.227,273.195,275.250,275.773,276.805,276.582,891.340,893.898,904.988,901.797,904.129,895.836,294.652,299.734,303.637,301.016,295.691,295.152,863.957,864.199,876.012,872.371,870.961,871.828,474.340,476.359,479.188,479.652,480.727,480.941,681.434,680.473,686.195,685.391,685.852,686.445,480.465,482.430,484.105,484.539,486.617,486.215,674.852,679.320,680.703,677.824,682.309,681.711
bhutan,Rlog_3yr,132.398,134.336,136.051,148.402,149.535,149.711,755.520,759.258,759.715,772.387,772.141,770.012,174.102,171.953,173.676,178.496,176.727,176.016,679.445,681.234,684.449,680.422,682.797,687.473,297.203,303.129,300.926,301.879,303.160,303.059,528.398,527.832,533.309,537.641,538.602,538.215,306.324,309.008,309.766,310.949,312.090,313.070,507.363,506.191,511.441,512.219,510.988,511.875,315.035,315.238,317.203,318.414,320.051,316.895,505.590,500.785,501.441,503.805,505.422,509.980
bhutan,Rlog_4yr,132.395,134.270,136.070,148.352,149.523,149.375,644.828,646.875,648.781,647.520,655.125,652.281,169.148,171.738,174.227,179.566,177.332,175.395,531.633,534.828,544.656,542.234,544.582,536.145,187.125,201.023,193.879,194.352,193.250,192.492,506.449,508.184,510.367,511.312,513.418,512.531,306.391,308.047,310.137,311.051,312.402,312.773,330.129,332.027,332.586,333.449,333.117,333.328,312.633,313.684,315.570,317.273,318.590,318.426,318.891,317.473,319.512,320.922,321.660,322.137
bhutan,Rlog_5yr,132.387,134.363,136.078,148.336,149.598,149.375,475.574,486.855,496.156,483.484,483.211,482.855,170.289,175.758,173.484,178.234,177.355,175.520,394.355,396.504,397.953,401.109,398.410,396.324,191.391,196.844,194.695,192.176,193.270,191.953,352.863,353.250,350.453,357.352,358.293,350.066,200.305,197.414,198.266,196.723,200.328,197.543,331.035,335.594,334.383,334.176,335.414,337.203,311.699,313.461,315.488,316.000,318.102,317.566,318.809,319.090,321.145,322.195,323.832,324.715
bhutan,Rlog_NoSnap,132.395,134.277,136.008,148.430,149.547,149.402,390.012,391.680,389.074,390.609,397.996,397.133,174.227,172.840,173.645,181.328,177.320,175.973,272.512,277.605,285.301,281.465,282.074,279.754,186.816,193.031,194.781,192.047,192.773,192.430,230.852,234.805,234.578,239.531,240.949,233.738,199.387,197.895,198.145,196.461,198.004,198.000,211.898,217.262,216.371,218.008,220.301,220.973,201.258,200.457,200.359,199.996,201.578,202.371,203.969,203.809,204.457,204.969,206.980,207.340
