Trees	Build	Incremental Insert						Query after Inc. Ins.						Incremental Delete						Query after Inc. Del.					
		100%	50%	25%	12.5%	6.25%	3.125%	KNN_1	KNN_10	KNN_100	Range_Small	Range_Med	Range_Large	100%	50%	25%	12.5%	6.25%	3.125%	KNN_1	KNN_10	KNN_100	Range_Small	Range_Med	Range_Large
MVZD	0.0387	342.872	459.05	611.827	1017.602	1853.477	3593.059	0.001	0.0016	0.0122	0.0015	0.0236	0.1273	337.08	461.677	664.817	1130.36	2062.372	3917.797	0.0009	0.0018	0.0116	0.0015	0.0204	0.1172
CPAMBB	0.1127	546.24	817.282	1426.03	2718.867	5367.244	10714.355	0.0062	0.0358	0.1697	0.0041	0.0337	0.1383	529.082	897.015	1599.441	3084.551	6053.711	12178.838	0.0072	0.0419	0.1716	0.0056	0.0322	0.1304
Rlog_1yr	0.1134	732.171	670.69	680.442	670.879	672.758	679.379	0.0041	0.005	0.0196	0.0014	0.0168	0.091	718.034	720.421	728.354	720.357	720.984	728.618	0.0041	0.0047	0.0197	0.0013	0.0146	0.0813
Rlog_2yr	0.1134	9.968	8.119	8.79	9.128	9.317	9.915	0.8557	0.8822	0.9645	0.5545	0.5823	0.7006	742.334	745.548	749.187	756.954	761.379	740.726	0.0045	0.0047	0.0193	0.0013	0.0145	0.0812
Rlog_3yr	0.1134	664.269	675.845	660.899	663.911	707.591	669.631	0.0041	0.0048	0.0201	0.0014	0.017	0.0915	11.544	16.348	15.543	15.308	16.108	9.775	0.005	0.0074	0.0283	0.0027	0.085	0.4773
Rlog_4yr	0.1134	9.346	7.305	6.207	5.119	4.902	4.772	8.1109	8.1149	8.1834	5.7527	5.7539	5.862	752.51	761.022	765.648	761.043	752.578	802.879	0.0039	0.0049	0.0193	0.0013	0.0149	0.0793
Rlog_5yr	0.1134	9.305	7.288	4.838	5.56	5.177	5.08	8.1357	8.1669	8.2066	5.7865	5.8296	5.9227	12.75	17.94	14.367	15.243	8.701	9.032	0.0051	0.0076	0.0295	0.0027	0.0906	0.5016
Rlog_NoSnap	0.1134	9.843	9.307	4.995	5.544	5.142	4.977	8.127	8.0593	8.1802	5.7576	5.781	5.8902	12.903	16.863	14.747	15.033	8.671	9.024	70.2329	70.709	70.3477	69.8193	68.6545	70.02
