Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
Rlog_4yr | 31 | 0 | 0.036 | 0 | 428.248
Rlog_4yr | 30 | 0 | 0.023 | 0 | 428.818
Rlog_4yr | 29 | 0 | 0.022 | 0 | 429.389
Rlog_4yr | 28 | 0 | 0.022 | 0 | 429.959
Rlog_4yr | 27 | 0 | 0.022 | 0 | 430.529
Rlog_4yr | 26 | 0 | 0.022 | 0 | 431.099
Rlog_4yr | 25 | 0 | 0.023 | 0 | 431.669
Rlog_4yr | 24 | 0 | 0.024 | 0 | 432.239
Rlog_4yr | 23 | 0 | 0.022 | 0 | 432.81
Rlog_4yr | 22 | 0 | 0.022 | 0 | 433.38
Rlog_4yr | 21 | 0 | 0.022 | 0 | 433.95
Rlog_4yr | 20 | 0 | 0.022 | 0 | 434.52
Rlog_4yr | 19 | 0 | 0.021 | 0 | 435.09
Rlog_4yr | 18 | 0 | 0.022 | 0 | 435.66
Rlog_4yr | 17 | 0 | 0.022 | 0 | 436.231
Rlog_4yr | 16 | 0 | 0.022 | 0 | 436.801
Rlog_4yr | 15 | 0 | 0.022 | 0 | 437.371
Rlog_4yr | 14 | 0 | 0.023 | 0 | 437.941
Rlog_4yr | 13 | 0 | 0.023 | 0 | 438.511
Rlog_4yr | 12 | 0 | 0.022 | 0 | 439.081
Rlog_4yr | 11 | 0 | 0.022 | 0 | 439.652
Rlog_4yr | 10 | 0 | 0.022 | 0 | 440.222
Rlog_4yr | 9 | 0 | 0.022 | 0 | 440.792
Rlog_4yr | 8 | 0 | 0.022 | 0 | 441.362
Rlog_4yr | 7 | 0 | 0.022 | 0 | 441.932
Rlog_4yr | 6 | 0 | 0.022 | 0 | 442.502
Rlog_4yr | 5 | 0 | 0.022 | 0 | 443.073
Rlog_4yr | 4 | 0 | 0.022 | 0 | 443.643
Rlog_4yr | 3 | 0 | 0.022 | 0 | 444.213
Rlog_4yr | 2 | 0 | 0.022 | 0 | 444.783
Rlog_4yr | 1 | 0 | 0.022 | 0 | 445.353
Rlog_4yr | 0 | 0 | 0.022 | 0 | 445.923
Rlog_4yr | SUMMARY | 0 | 0 | 22.92 | 464.168
