Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
Rlog_2yr | 31 | 0 | 0.073 | 0 | 775.027
Rlog_2yr | 30 | 0 | 0.06 | 0 | 776.508
Rlog_2yr | 29 | 0 | 0.059 | 0 | 777.989
Rlog_2yr | 28 | 0 | 0.058 | 0 | 779.469
Rlog_2yr | 27 | 0 | 0.058 | 0 | 780.95
Rlog_2yr | 26 | 0 | 0.058 | 0 | 782.431
Rlog_2yr | 25 | 0 | 0.057 | 0 | 783.912
Rlog_2yr | 24 | 0 | 0.056 | 0 | 785.393
Rlog_2yr | 23 | 0 | 0.057 | 0 | 786.874
Rlog_2yr | 22 | 0 | 0.058 | 0 | 788.355
Rlog_2yr | 21 | 0 | 0.059 | 0 | 789.836
Rlog_2yr | 20 | 0 | 0.057 | 0 | 791.316
Rlog_2yr | 19 | 0 | 0.057 | 0 | 792.797
Rlog_2yr | 18 | 0 | 0.057 | 0 | 794.278
Rlog_2yr | 17 | 0 | 0.057 | 0 | 795.759
Rlog_2yr | 16 | 0 | 0.058 | 0 | 797.24
Rlog_2yr | 15 | 0 | 0.058 | 0 | 798.721
Rlog_2yr | 14 | 0 | 0.057 | 0 | 800.202
Rlog_2yr | 13 | 0 | 0.113 | 0 | 801.683
Rlog_2yr | 12 | 0 | 0.056 | 0 | 803.164
Rlog_2yr | 11 | 0 | 0.056 | 0 | 804.644
Rlog_2yr | 10 | 0 | 0.057 | 0 | 806.125
Rlog_2yr | 9 | 0 | 0.056 | 0 | 807.606
Rlog_2yr | 8 | 0 | 0.056 | 0 | 809.087
Rlog_2yr | 7 | 0 | 0.056 | 0 | 810.568
Rlog_2yr | 6 | 0 | 0.056 | 0 | 812.049
Rlog_2yr | 5 | 0 | 0.056 | 0 | 813.53
Rlog_2yr | 4 | 0 | 0.057 | 0 | 815.011
Rlog_2yr | 3 | 0 | 0.086 | 0 | 816.492
Rlog_2yr | 2 | 0 | 0.057 | 0 | 817.972
Rlog_2yr | 1 | 0 | 0.056 | 0 | 819.453
Rlog_2yr | 0 | 0 | 0.057 | 0 | 820.934
Rlog_2yr | SUMMARY | 0 | 0 | 458.393 | 829.42
