Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
Rlog_2yr | 0 | 0 | 0.005 | 0 | 253.625
Rlog_2yr | 1 | 0 | 0.003 | 0 | 253.717
Rlog_2yr | 2 | 0 | 0.003 | 0 | 253.81
Rlog_2yr | 3 | 0 | 0.016 | 0 | 253.902
Rlog_2yr | 4 | 0 | 0.003 | 0 | 253.994
Rlog_2yr | 5 | 0 | 0.003 | 0 | 254.087
Rlog_2yr | 6 | 0 | 0.003 | 0 | 254.179
Rlog_2yr | 7 | 0 | 0.003 | 0 | 254.272
Rlog_2yr | 8 | 0 | 0.002 | 0 | 254.364
Rlog_2yr | 9 | 0 | 0.002 | 0 | 254.457
Rlog_2yr | 10 | 0 | 0.002 | 0 | 254.549
Rlog_2yr | 11 | 0 | 0.003 | 0 | 254.642
Rlog_2yr | 12 | 0 | 0.002 | 0 | 254.734
Rlog_2yr | 13 | 0 | 0.002 | 0 | 254.827
Rlog_2yr | 14 | 0 | 0.002 | 0 | 254.919
Rlog_2yr | 15 | 0 | 0.002 | 0 | 255.012
Rlog_2yr | 16 | 0 | 0.002 | 0 | 255.104
Rlog_2yr | 17 | 0 | 0.002 | 0 | 255.197
Rlog_2yr | 18 | 0 | 0.002 | 0 | 255.289
Rlog_2yr | 19 | 0 | 0.002 | 0 | 255.382
Rlog_2yr | 20 | 0 | 0.002 | 0 | 255.474
Rlog_2yr | 21 | 0 | 0.002 | 0 | 255.567
Rlog_2yr | 22 | 0 | 0.002 | 0 | 255.659
Rlog_2yr | 23 | 0 | 0.002 | 0 | 255.752
Rlog_2yr | 24 | 0 | 0.002 | 0 | 255.844
Rlog_2yr | 25 | 0 | 0.002 | 0 | 255.937
Rlog_2yr | 26 | 0 | 0.002 | 0 | 256.029
Rlog_2yr | 27 | 0 | 0.002 | 0 | 256.122
Rlog_2yr | 28 | 0 | 0.002 | 0 | 256.214
Rlog_2yr | 29 | 0 | 0.002 | 0 | 256.307
Rlog_2yr | 30 | 0 | 0.002 | 0 | 256.399
Rlog_2yr | 31 | 0 | 0.002 | 0 | 256.491
Rlog_2yr | SUMMARY | 0 | 0 | 684.265 | 412.99
