Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
CPAMBB | 0 | 0 | 2.994 | 0 | 888.227
CPAMBB | 1 | 0 | 1.67 | 0 | 889.418
CPAMBB | 2 | 0 | 1.994 | 0 | 890.383
CPAMBB | 3 | 0 | 4.412 | 0 | 893.827
CPAMBB | 4 | 0 | 4.747 | 0 | 897.637
CPAMBB | 5 | 0 | 3.552 | 0 | 900.297
CPAMBB | 6 | 0 | 2.081 | 0 | 901.637
CPAMBB | 7 | 0 | 2.558 | 0 | 903.515
CPAMBB | 8 | 0 | 2.449 | 0 | 905.273
CPAMBB | 9 | 0 | 2.981 | 0 | 907.362
CPAMBB | 10 | 0 | 2.161 | 0 | 908.799
CPAMBB | 11 | 0 | 2.331 | 0 | 910.336
CPAMBB | 12 | 0 | 3.654 | 0 | 912.987
CPAMBB | 13 | 0 | 6.527 | 0 | 918.125
CPAMBB | 14 | 0 | 2.887 | 0 | 920.02
CPAMBB | 15 | 0 | 3.387 | 0 | 922.378
CPAMBB | SUMMARY | 0 | 0 | 1860.07 | 947.656
