Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
Rlog_2yr | 15 | 0 | 1.771 | 0 | 924.453
Rlog_2yr | 14 | 0 | 0.655 | 0 | 928.578
Rlog_2yr | 13 | 0 | 0.134 | 0 | 931.414
Rlog_2yr | 12 | 0 | 0.131 | 0 | 934.508
Rlog_2yr | 11 | 0 | 0.127 | 0 | 937.344
Rlog_2yr | 10 | 0 | 0.126 | 0 | 940.438
Rlog_2yr | 9 | 0 | 0.122 | 0 | 943.273
Rlog_2yr | 8 | 0 | 0.126 | 0 | 946.367
Rlog_2yr | 7 | 0 | 0.121 | 0 | 949.203
Rlog_2yr | 6 | 0 | 0.123 | 0 | 952.297
Rlog_2yr | 5 | 0 | 0.125 | 0 | 955.129
Rlog_2yr | 4 | 0 | 0.123 | 0 | 958.223
Rlog_2yr | 3 | 0 | 0.122 | 0 | 961.059
Rlog_2yr | 2 | 0 | 0.125 | 0 | 964.152
Rlog_2yr | 1 | 0 | 0.121 | 0 | 966.988
Rlog_2yr | 0 | 0 | 0.124 | 0 | 970.082
Rlog_2yr | SUMMARY | 0 | 0 | 469.799 | 998.875
