Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
Rlog_2yr | 0 | 0 | 1.784 | 0 | 51.5273
Rlog_2yr | 1 | 0 | 0.169 | 0 | 54.6211
Rlog_2yr | 2 | 0 | 0.231 | 0 | 57.457
Rlog_2yr | 3 | 0 | 0.262 | 0 | 60.5508
Rlog_2yr | 4 | 0 | 0.195 | 0 | 63.3867
Rlog_2yr | 5 | 0 | 0.224 | 0 | 66.4805
Rlog_2yr | 6 | 0 | 0.173 | 0 | 69.5742
Rlog_2yr | 7 | 0 | 0.182 | 0 | 72.4102
Rlog_2yr | 8 | 0 | 0.178 | 0 | 75.5039
Rlog_2yr | 9 | 0 | 0.161 | 0 | 78.3398
Rlog_2yr | 10 | 0 | 0.168 | 0 | 81.4336
Rlog_2yr | 11 | 0 | 0.164 | 0 | 84.2695
Rlog_2yr | 12 | 0 | 0.153 | 0 | 87.3633
Rlog_2yr | 13 | 0 | 0.165 | 0 | 90.1992
Rlog_2yr | 14 | 0 | 0.164 | 0 | 93.293
Rlog_2yr | 15 | 0 | 0.16 | 0 | 96.1289
Rlog_2yr | SUMMARY | 0 | 0 | 53.271 | 149.539
