Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
CPAMBB | 15 | 0 | 1.637 | 0 | 126.657
CPAMBB | 14 | 0 | 2.705 | 0 | 127.278
CPAMBB | 13 | 0 | 2.597 | 0 | 127.799
CPAMBB | 12 | 0 | 1.892 | 0 | 128.141
CPAMBB | 11 | 0 | 3.3 | 0 | 128.965
CPAMBB | 10 | 0 | 2.552 | 0 | 129.467
CPAMBB | 9 | 0 | 1.28 | 0 | 129.562
CPAMBB | 8 | 0 | 1.374 | 0 | 129.736
CPAMBB | 7 | 0 | 1.909 | 0 | 129.871
CPAMBB | 6 | 0 | 4.109 | 0 | 130.286
CPAMBB | 5 | 0 | 2.257 | 0 | 130.482
CPAMBB | 4 | 0 | 2.448 | 0 | 130.693
CPAMBB | 3 | 0 | 3.052 | 0 | 130.986
CPAMBB | 2 | 0 | 2.811 | 0 | 131.259
CPAMBB | 1 | 0 | 4.974 | 0 | 131.808
CPAMBB | 0 | 0 | 6.257 | 0 | 132.544
CPAMBB | SUMMARY | 0 | 0 | 4560.78 | 135.701
