Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
Rlog_2yr | 15 | 0 | 0.012 | 0 | 581.403
Rlog_2yr | 14 | 0 | 0.022 | 0 | 581.588
Rlog_2yr | 13 | 0 | 0.021 | 0 | 581.773
Rlog_2yr | 12 | 0 | 0.007 | 0 | 581.958
Rlog_2yr | 11 | 0 | 0.007 | 0 | 582.143
Rlog_2yr | 10 | 0 | 0.006 | 0 | 582.328
Rlog_2yr | 9 | 0 | 0.006 | 0 | 582.513
Rlog_2yr | 8 | 0 | 0.006 | 0 | 582.698
Rlog_2yr | 7 | 0 | 0.006 | 0 | 582.883
Rlog_2yr | 6 | 0 | 0.006 | 0 | 583.068
Rlog_2yr | 5 | 0 | 0.007 | 0 | 583.252
Rlog_2yr | 4 | 0 | 0.006 | 0 | 583.437
Rlog_2yr | 3 | 0 | 0.006 | 0 | 583.622
Rlog_2yr | 2 | 0 | 0.007 | 0 | 583.807
Rlog_2yr | 1 | 0 | 0.006 | 0 | 583.992
Rlog_2yr | 0 | 0 | 0.007 | 0 | 584.177
Rlog_2yr | SUMMARY | 0 | 0 | 2.247 | 587.136
