Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
Rlog_1yr | 15 | 0 | 0.065 | 0 | 1336.85
Rlog_1yr | 14 | 0 | 0.045 | 0 | 1337.99
Rlog_1yr | 13 | 0 | 0.044 | 0 | 1339.13
Rlog_1yr | 12 | 0 | 0.042 | 0 | 1340.27
Rlog_1yr | 11 | 0 | 0.042 | 0 | 1341.41
Rlog_1yr | 10 | 0 | 0.078 | 0 | 1342.55
Rlog_1yr | 9 | 0 | 0.043 | 0 | 1343.69
Rlog_1yr | 8 | 0 | 0.043 | 0 | 1344.83
Rlog_1yr | 7 | 0 | 0.043 | 0 | 1345.97
Rlog_1yr | 6 | 0 | 0.043 | 0 | 1347.11
Rlog_1yr | 5 | 0 | 0.043 | 0 | 1348.25
Rlog_1yr | 4 | 0 | 0.042 | 0 | 1349.39
Rlog_1yr | 3 | 0 | 0.042 | 0 | 1350.53
Rlog_1yr | 2 | 0 | 0.058 | 0 | 1351.67
Rlog_1yr | 1 | 0 | 0.042 | 0 | 1352.81
Rlog_1yr | 0 | 0 | 0.042 | 0 | 1353.96
Rlog_1yr | SUMMARY | 0 | 0 | 619.853 | 1465.78
