Algo | Batch | Fork_ms | Commit_ms | Merge_ms | Mem_MB
Rlog_5yr | 15 | 0 | 1.803 | 0 | 426.059
Rlog_5yr | 14 | 0 | 0.185 | 0 | 429.152
Rlog_5yr | 13 | 0 | 0.172 | 0 | 431.988
Rlog_5yr | 12 | 0 | 0.174 | 0 | 435.082
Rlog_5yr | 11 | 0 | 0.171 | 0 | 437.918
Rlog_5yr | 10 | 0 | 0.175 | 0 | 441.012
Rlog_5yr | 9 | 0 | 0.165 | 0 | 443.848
Rlog_5yr | 8 | 0 | 0.172 | 0 | 446.941
Rlog_5yr | 7 | 0 | 0.24 | 0 | 449.777
Rlog_5yr | 6 | 0 | 0.166 | 0 | 452.871
Rlog_5yr | 5 | 0 | 0.167 | 0 | 455.707
Rlog_5yr | 4 | 0 | 0.163 | 0 | 458.801
Rlog_5yr | 3 | 0 | 0.154 | 0 | 461.637
Rlog_5yr | 2 | 0 | 0.166 | 0 | 464.73
Rlog_5yr | 1 | 0 | 0.172 | 0 | 467.566
Rlog_5yr | 0 | 0 | 0.156 | 0 | 470.66
Rlog_5yr | SUMMARY | 0 | 0 | 542.736 | 483.211
