Algo | QType | QID | Count | Hash | Time_ms | Mem_MB | Nodes
MVZD | Range_Small | 0 | 13 | 77370775039 | 0.00154 | 661.005 | 0
MVZD | Range_Small | 1 | 32 | 53711026007 | 0.00154 | 661.005 | 0
MVZD | Range_Small | 2 | 22 | 129856243729 | 0.00154 | 661.005 | 0
MVZD | Range_Small | 3 | 23 | 125861566061 | 0.00154 | 661.005 | 0
MVZD | Range_Small | 4 | 12 | 62231256115 | 0.00154 | 661.005 | 0
MVZD | Range_Small | 5 | 8 | 24044512384 | 0.00154 | 661.005 | 0
MVZD | Range_Small | 6 | 7 | 30210729085 | 0.00154 | 661.005 | 0
MVZD | Range_Small | 7 | 25 | 137139152206 | 0.00154 | 661.005 | 0
MVZD | Range_Small | 8 | 20 | 69205439825 | 0.00154 | 661.005 | 0
MVZD | Range_Small | 9 | 22 | 111590590455 | 0.00154 | 661.005 | 0
MVZD | Range_Small | 10 | 5 | 10444192042 | 0.00154 | 661.005 | 0
MVZD | Range_Small | 11 | 159 | 1224908840390 | 0.00154 | 661.005 | 0
MVZD | Range_Small | 12 | 27 | 152094047076 | 0.00154 | 661.005 | 0
MVZD | Range_Small | 13 | 64 | 498902711018 | 0.00154 | 661.005 | 0
MVZD | Range_Small | 14 | 9 | 62398590491 | 0.00154 | 661.005 | 0
MVZD | Range_Small | 15 | 9 | 42692757318 | 0.00154 | 661.005 | 0
MVZD | Range_Small | 16 | 17 | 94167736767 | 0.00154 | 661.005 | 0
MVZD | Range_Small | 17 | 17 | 54936443278 | 0.00154 | 661.005 | 0
MVZD | Range_Small | 18 | 91 | 300755550064 | 0.00154 | 661.005 | 0
MVZD | Range_Small | 19 | 11 | 49462926783 | 0.00154 | 661.005 | 0
MVZD | Range_Small | 20 | 40 | 276082178268 | 0.00154 | 661.005 | 0
MVZD | Range_Small | 21 | 8 | 20530185936 | 0.00154 | 661.005 | 0
MVZD | Range_Small | 22 | 15 | 121533916642 | 0.00154 | 661.005 | 0
MVZD | Range_Small | 23 | 41 | 316751500055 | 0.00154 | 661.005 | 0
MVZD | Range_Small | 24 | 24 | 85875862369 | 0.00154 | 661.005 | 0
MVZD | Range_Small | 25 | 23 | 109186965647 | 0.00154 | 661.005 | 0
